ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
8.022,0.1239,-0.1111,1.1891,-4.2214,3.9466,-3.8168
8.041,0.1399,-0.0737,1.2136,1.5496,16.542,-5.7557
8.061,0.2114,-0.0618,1.1772,21.7099,14.1908,-5.8779
8.081,0.2164,-0.0289,1.1663,30.3435,8.5954,-1.626
8.101,0.127,-0.0682,1.1667,45.313,4.5649,1.6565
8.121,0.1311,-0.0564,1.1537,12.5954,6.0458,-5.2214
8.141,0.1487,-0.0194,1.1445,-10.6489,7.7328,-13.1756
8.161,0.1794,-0.0176,1.1279,-5.6718,6.374,-9.229
8.181,0.1874,-0.0087,1.1042,13.7863,1.0458,-5.5573
8.201,0.1575,-0.0375,1.1302,16.5802,4.0076,-5.9847
8.221,0.1652,-0.0127,1.1754,12.9008,6.7099,-19.771
8.241,0.1692,0.0323,1.1595,-1.2443,9.0,-14.5649
8.261,0.1636,0.0035,1.1245,-10.8321,20.4733,-15.5802
8.281,0.1484,-0.0089,1.1217,-17.8015,17.1679,-20.8931
8.301,0.1409,0.0095,1.1725,-12.5115,14.8092,-6.9008
8.321,0.1406,0.0225,1.2021,-4.7099,9.4046,-3.2977
8.341,0.1302,0.0074,1.1626,-14.1221,3.2672,-9.0687
8.361,0.1333,-0.0258,1.147,-7.8779,-0.8015,-4.8092
8.381,0.1104,-0.0513,1.1742,-0.4962,-2.5802,0.6718
8.401,0.1071,-0.0331,1.1665,-1.687,0.4198,-1.0076
8.421,0.1211,-0.0139,1.1429,-0.7939,0.2977,0.7786
8.441,0.1526,-0.0146,1.1299,7.4733,-2.5725,2.4427
8.461,0.1169,-0.0204,1.181,3.5191,-1.1298,2.2748
8.481,0.1105,-0.0179,1.182,-15.374,1.8931,-8.4198
8.501,0.1453,-0.0065,1.13,-6.4275,1.1679,-6.0916
8.521,0.1522,-0.0314,1.1355,-1.9924,-1.2595,0.0153
8.541,0.1151,-0.0161,1.1781,-3.4656,-0.7481,-2.6641
8.561,0.1125,-0.0027,1.1654,-1.4122,0.6336,-0.2443
8.581,0.1304,-0.012,1.1339,7.4427,0.1527,1.6412
8.601,0.131,-0.0232,1.1373,7.229,0.5802,3.9389
8.621,0.1217,-0.0243,1.1428,-3.4122,3.8626,2.1221
8.641,0.1307,-0.0111,1.1346,-7.3359,2.3817,-1.7328
8.662,0.1394,-0.0101,1.179,-6.4809,1.3664,-1.9618
8.681,0.1292,-0.007,1.2311,-2.6031,0.9008,-3.084
8.701,0.14,0.0074,1.1962,-0.2977,-1.4275,0.0458
8.721,0.1494,-0.0059,1.1476,4.7557,-3.7634,2.3282
8.741,0.1445,-0.0233,1.1213,4.4351,-5.145,0.7557
8.761,0.1229,-0.0242,1.1617,-4.4885,-0.7939,-3.9618
8.781,0.1334,0.0055,1.1462,-6.6183,0.7863,-5.8855
8.801,0.1385,0.0145,1.1239,-4.0992,3.7099,-4.6489
8.821,0.1459,0.0115,1.1221,-3.7634,-3.6412,3.2824
8.841,0.1206,-0.0138,1.1448,-1.8931,-4.0916,4.458
8.861,0.1178,-0.0144,1.1449,-2.5725,-1.3359,2.8931
8.881,0.1427,-0.0027,1.1267,-8.1527,2.8397,-0.084
8.901,0.1483,-0.0011,1.1425,-11.1221,3.687,-5.7481
